1
-0.16, 0.17, 0
0.83, 0.07, 0
0.95, 0.18, 0
0.61, -0.03, 0
0.33, 0.18, 0
0.67, 0.18, 0
0.72, -0.01, 0
0.73, -0.25, 0
0.28, -0.26, 0
0.72, -0.04, 0
0.61, 0.07, 0
0.5, 0.18, 0
0.32, 0.36, 0
0.47, -0.38, 0
0.5, 0.1, 0
0.5, -0.24, 0
0.27, 0.39, 0
0.49, -0.03, 0
0.5, 0.07, 0
0.6, 0.07, 0
0.61, 0.07, 0
0.72, -0.03, 0
0.73, -0.03, 0
0.44, 0.13, 0
0.47, -0.21, 0
0.5, -0.06, 0
0.5, -0.04, 0
0.05, 0.18, 0
-0.17, 0.41, 0
0.25, 0.41, 0
0.5, -0.02, 0
0.55, 0.18, 0
0.67, 0.01, 0
0.72, 0.13, 0
0.52, -0.21, 0
0.5, 0.37, 0
0.28, -0.01, 0
0.7, 0.17, 0
0.28, -0.25, 0
0.49, -0.04, 0
0.38, 0.07, 0
0.27, 0.07, 0
0.15, 0.07, 0
0.27, -0.04, 0
0.61, -0.26, 0
0.55, -0.09, 0
0.7, -0.24, 0
0.94, -0.05, 0
0.74, 0.38, 0
0.73, -0.22, 0
0.06, 0.17, 0
0.26, -0.03, 0
0.49, 0.62, 0
0.04, 0.08, 0
0.04, 0.07, 0
0.04, -0.03, 0
0.48, -0.48, 0
0.38, -0.04, 0
0.44, 0.13, 0
0.67, 0.01, 0
0.9, 0.13, 0
0.35, 0.18, 0
0.48, -0.24, 0
0.27, 0.17, 0
0.7, -0.02, 0
0.5, 0.18, 0
0.16, 0.18, 0
0.27, 0.07, 0
0.38, -0.03, 0
0.32, -0.21, 0
0.27, 0.13, 0
0.67, 0.18, 0
0.51, 0.18, 0
0.27, 0.41, 0
0.27, 0.19, 0
0.04, -0.03, 0
0.48, -0.03, 0
0.04, 0.18, 0
0.04, 0.18, 0
0.04, 0.41, 0
0.48, 0.41, 0
0.38, -0.03, 0
0.5, -0.15, 0
1.07, 0.07, 0
1.18, -0.01, 0
0.97, -0.03, 0
0.95, 0.18, 0
1.18, -0.25, 0
0.5, 0.07, 0
0.27, 0.07, 0
